"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"arnie risen",1949,1958,"C-F","6-9",200,"October 9, 1924","Ohio State University"
"tex ritter",1949,1951,"G-F","6-2",185,"February 26, 1924","Eastern Kentucky University"
"ramon rivas",1989,1989,"F-C","6-10",260,"June 3, 1966","Temple University"
"austin rivers",2013,2018,"G","6-4",200,"August 1, 1992","Duke University"
"david rivers",1989,1992,"G","6-0",170,"January 20, 1965","University of Notre Dame"
"doc rivers",1984,1996,"G","6-4",185,"October 13, 1961","Marquette University"
"lee robbins",1948,1949,"F","6-3",175,"February 11, 1922","University of Colorado"
"red robbins",1968,1975,"F-C","6-8",190,"September 30, 1944","University of Tennessee"
"andre roberson",2014,2018,"G-F","6-7",210,"December 4, 1991","University of Colorado"
"anthony roberson",2006,2009,"G","6-2",180,"February 14, 1983","University of Florida"
"rick roberson",1970,1976,"C-F","6-9",231,"July 7, 1947","University of Cincinnati"
"terrance roberson",2001,2001,"F","6-7",215,"December 30, 1976","California State University, Fresno"
"anthony roberts",1978,1984,"F-G","6-5",185,"April 15, 1955","Oral Roberts University"
"bill roberts",1949,1950,"C","6-9",210,"March 13, 1925","University of Wyoming"
"brian roberts",2013,2017,"G","6-1",173,"December 3, 1985","University of Dayton"
"fred roberts",1984,1997,"F-C","6-10",218,"August 14, 1960","Brigham Young University"
"joe roberts",1961,1968,"F","6-6",214,"May 18, 1936","Ohio State University"
"lawrence roberts",2006,2007,"F","6-9",240,"October 20, 1982","Baylor University, Mississippi State University"
"marv roberts",1972,1977,"F-C","6-8",200,"January 29, 1950","Utah State University"
"stanley roberts",1992,2000,"C","7-0",285,"February 7, 1970","Louisiana State University"
"alvin robertson",1985,1996,"G","6-3",185,"July 22, 1962","University of Arkansas"
"oscar robertson",1961,1974,"G-F","6-5",205,"November 24, 1938","University of Cincinnati"
"ryan robertson",2000,2000,"G","6-5",190,"October 2, 1976","University of Kansas"
"tony robertson",1978,1979,"G","6-4",195,"January 1, 1956","West Virginia University"
"rick robey",1979,1986,"C-F","6-11",230,"January 30, 1956","University of Kentucky"
"bernard robinson",2005,2007,"G-F","6-6",210,"December 26, 1980","University of Michigan"
"chris robinson",1997,1998,"G","6-5",200,"April 2, 1974","Western Kentucky University"
"cliff robinson",1980,1992,"F","6-9",220,"March 13, 1960","University of Southern California"
"clifford robinson",1990,2007,"F-C","6-10",225,"December 16, 1966","University of Connecticut"
"david robinson",1990,2003,"C","7-1",235,"August 6, 1965","United States Naval Academy"
"eddie robinson",2000,2004,"G-F","6-8",210,"April 19, 1976","University of Central Oklahoma"
"flynn robinson",1967,1974,"G","6-1",185,"April 28, 1941","University of Wyoming"
"glenn robinson",1995,2005,"F","6-7",225,"January 10, 1973","Purdue University"
"glenn robinson",2015,2018,"G-F","6-6",222,"January 8, 1994","University of Michigan"
"jackie robinson",1979,1982,"F","6-6",210,"May 20, 1955","University of Nevada, Las Vegas"
"jamal robinson",2001,2001,"F","6-7",212,"December 27, 1973","University of Virginia"
"james robinson",1994,2001,"G","6-2",180,"August 31, 1970","University of Alabama"
"larry robinson",1991,2002,"F-G","6-3",180,"January 11, 1968","Centenary College of Louisiana"
"nate robinson",2006,2016,"G","5-9",180,"May 31, 1984","University of Washington"
"oliver robinson",1983,1983,"G","6-4",180,"March 13, 1960","University of Alabama at Birmingham"
"ronnie robinson",1974,1975,"F","6-8",200,"March 9, 1951","University of Memphis"
"rumeal robinson",1991,1997,"G","6-2",195,"November 13, 1966","University of Michigan"
"samuel robinson",1971,1972,"F","6-7",190,"January 1, 1948","California State University, Long Beach"
"thomas robinson",2013,2017,"F","6-10",237,"March 17, 1991","University of Kansas"
"truck robinson",1975,1985,"F-C","6-7",225,"October 4, 1951","Tennessee State University"
"wayne robinson",1981,1981,"F","6-8",217,"April 19, 1958","Virginia Polytechnic Institute and State University"
"wilbert robinson",1974,1974,"G","6-2",175,"December 25, 1949","West Virginia University"
"bill robinzine",1976,1982,"F","6-7",230,"January 20, 1953","DePaul University"
"dave robisch",1972,1984,"C-F","6-10",235,"December 22, 1949","University of Kansas"
"red rocha",1948,1957,"C-F","6-9",185,"September 18, 1923","Oregon State University"
"john roche",1972,1982,"G","6-3",170,"September 26, 1949","University of South Carolina"
"gene rock",1948,1948,"G","5-9",155,"November 4, 1921","University of Southern California"
"jack rocker",1948,1948,"C-F","6-5",185,"August 12, 1922","University of California"
"guy rodgers",1959,1970,"G","6-0",185,"September 1, 1935","Temple University"
"dennis rodman",1987,2000,"F","6-7",210,"May 13, 1961","Southeastern Oklahoma State University"
"sergio rodriguez",2007,2017,"G","6-3",176,"June 12, 1986",""
"lou roe",1996,1997,"F","6-7",220,"July 14, 1972","University of Massachusetts Amherst"
"carlos rogers",1995,2002,"C-F","6-11",220,"February 6, 1971","University of Arkansas at Little Rock, Tennessee State University"
"harry rogers",1976,1976,"F","6-7",195,"December 31, 1950","Saint Louis University"
"johnny rogers",1987,1988,"F-C","6-10",225,"December 30, 1963","Stanford University, University of California, Irvine"
"marshall rogers",1977,1977,"G","6-1",190,"August 27, 1953","University of Texas-Pan American"
"rodney rogers",1994,2005,"F","6-7",235,"June 20, 1971","Wake Forest University"
"roy rogers",1997,2000,"F","6-10",235,"August 19, 1973","University of Alabama"
"willie rogers",1969,1969,"G-F","6-3",185,"September 11, 1945","University of Oklahoma"
"al roges",1954,1955,"G-F","6-4",195,"October 25, 1930","Long Island University"
"ken rohloff",1964,1964,"G","6-0",195,"April 18, 1939","North Carolina State University"
"kenny rollins",1949,1953,"G","6-0",168,"September 14, 1923","University of Kentucky"
"phil rollins",1959,1961,"G","6-2",185,"January 19, 1934","University of Louisville"
"tree rollins",1978,1995,"C","7-1",235,"June 16, 1955","Clemson University"
"lorenzo romar",1981,1985,"G","6-1",175,"November 13, 1958","University of Washington"
"rajon rondo",2007,2018,"G","6-1",186,"February 22, 1986","University of Kentucky"
"jerry rook",1970,1970,"F","6-5",219,"October 27, 1943","Arkansas State University"
"sean rooks",1993,2004,"C","6-10",250,"September 9, 1969","University of Arizona"
"derrick rose",2009,2018,"G","6-3",190,"October 4, 1988","University of Memphis"
"jalen rose",1995,2007,"G-F","6-8",210,"January 30, 1973","University of Michigan"
"malik rose",1997,2009,"F","6-7",250,"November 23, 1974","Drexel University"
"rob rose",1989,1989,"G","6-5",180,"December 27, 1964","George Mason University"
"petey rosenberg",1947,1947,"G","5-10",165,"April 7, 1918","Saint Joseph's University"
"lennie rosenbluth",1958,1959,"F","6-4",190,"January 22, 1933","University of North Carolina"
"hank rosenstein",1947,1947,"F","6-4",185,"June 16, 1920","City College of New York"
"dick rosenthal",1955,1957,"F-G","6-5",205,"January 20, 1930","University of Notre Dame"
"quinton ross",2005,2011,"G","6-6",195,"April 30, 1981","Southern Methodist University"
"terrence ross",2013,2018,"F-G","6-7",206,"February 5, 1991","University of Washington"
"doug roth",1990,1990,"C","6-11",255,"August 24, 1967","University of Tennessee"
"scott roth",1988,1990,"F","6-8",212,"June 3, 1963","University of Wisconsin"
"irv rothenberg",1947,1949,"C","6-7",215,"December 31, 1921","Long Island University"
"mickey rottner",1947,1948,"G","5-10",180,"March 23, 1919","Loyola University of Chicago"
"dan roundfield",1976,1987,"F-C","6-8",205,"May 26, 1953","Central Michigan University"
"giff roux",1947,1949,"F-C","6-5",195,"June 28, 1923","University of Kansas"
"ron rowan",1987,1987,"G","6-5",200,"April 23, 1962","University of Notre Dame, St. John's University"
"curtis rowe",1972,1979,"F","6-7",225,"July 2, 1949","University of California, Los Angeles"
"jim rowinski",1989,1990,"F-C","6-8",250,"January 4, 1961","Purdue University"
"derrick rowland",1986,1986,"G","6-5",195,"June 21, 1959","State University of New York at Potsdam"
"brian rowsom",1988,1990,"F","6-9",220,"October 23, 1965","University of North Carolina at Wilmington"
"brandon roy",2007,2013,"G","6-6",215,"July 23, 1984","University of Washington"
"donald royal",1990,1998,"F","6-8",210,"May 22, 1966","University of Notre Dame"
"reggie royals",1975,1975,"C","6-10",200,"September 18, 1950","Florida State University"
"bob royer",1950,1950,"G","5-10",155,"October 15, 1927","Indiana State University"
"clifford rozier",1995,1998,"C-F","6-11",245,"October 31, 1972","University of North Carolina, University of Louisville"
"terry rozier",2016,2018,"G","6-2",190,"March 17, 1994","University of Louisville"
"ricky rubio",2012,2018,"G","6-4",194,"October 21, 1990",""
"guy rucker",2003,2003,"F-C","6-11",265,"July 27, 1977","University of Iowa"
"delaney rudd",1990,1993,"G","6-2",180,"November 8, 1962","Wake Forest University"
"john rudd",1979,1979,"F","6-7",230,"August 7, 1955","McNeese State University"
"damjan rudez",2015,2017,"F","6-10",228,"June 17, 1986",""
"john rudometkin",1963,1965,"F","6-6",205,"June 6, 1940","University of Southern California"
"michael ruffin",2000,2009,"F","6-9",246,"January 21, 1977","University of Tulsa"
"trevor ruffin",1995,1996,"G","6-1",185,"September 26, 1970","University of Hawaii"
"paul ruffner",1971,1976,"C-F","6-10",225,"October 15, 1948","Brigham Young University"
"joe ruklick",1960,1962,"F-C","6-9",220,"August 3, 1938","Northwestern University"
"jeff ruland",1982,1993,"C-F","6-10",240,"December 16, 1958","Iona College"
"bob rule",1968,1975,"C-F","6-9",220,"June 29, 1944","Colorado State University"
"jerry rullo",1947,1950,"G","5-10",165,"June 23, 1923","Temple University"
"stefano rusconi",1996,1996,"C-F","6-9",240,"October 2, 1968",""
"brandon rush",2009,2017,"G-F","6-6",220,"July 7, 1985","University of Kansas"
"kareem rush",2003,2010,"G","6-6",215,"October 30, 1980","University of Missouri"
"bill russell",1957,1969,"C","6-10",215,"February 12, 1934","University of San Francisco"
"bryon russell",1994,2006,"F","6-7",225,"December 31, 1970","California State University, Long Beach"
"campy russell",1975,1985,"F","6-8",215,"January 12, 1952","University of Michigan"
"cazzie russell",1967,1978,"F-G","6-5",218,"June 7, 1944","University of Michigan"
"dangelo russell",2016,2018,"G","6-5",195,"February 23, 1996","Ohio State University"
"frank russell",1973,1973,"G","6-3",180,"April 17, 1949","University of Detroit Mercy"
"pierre russell",1972,1973,"F-G","6-4",190,"December 13, 1949","University of Kansas"
"rubin russell",1968,1968,"G","6-2",180,"November 7, 1944","University of North Texas"
"walker russell",1983,1988,"G","6-5",195,"October 26, 1960","University of Houston, Western Michigan University"
"walker russell",2012,2012,"G","6-0",170,"October 6, 1982","Jacksonville State University"
"arvydas sabonis",1996,2003,"C","7-3",279,"December 19, 1964",""
"domantas sabonis",2017,2018,"F-C","6-11",240,"May 3, 1996","Gonzaga University"
"robert sacre",2013,2016,"C","7-0",270,"June 6, 1989","Gonzaga University"
"ed sadowski",1947,1950,"C","6-5",240,"July 11, 1917","Seton Hall University"
"kenny sailors",1947,1951,"G","5-10",175,"January 14, 1921","University of Wyoming"
"john salley",1987,2000,"F-C","6-11",230,"May 16, 1964","Georgia Institute of Technology"
"john salmons",2003,2015,"G","6-7",210,"December 12, 1979","University of Miami"
"al salvadori",1968,1968,"F","6-9",220,"May 6, 1945","University of South Carolina"
"kevin salvadori",1997,1998,"C","7-0",231,"December 30, 1970","University of North Carolina"
"soumaila samake",2001,2003,"C","7-0",230,"March 18, 1978",""
"cheikh samb",2008,2009,"C","7-1",245,"October 22, 1984",""
"jakarr sampson",2015,2018,"G-F","6-9",214,"March 20, 1993","St. John's University"
"jamal sampson",2003,2007,"F-C","6-11",235,"May 15, 1983","University of California"
"ralph sampson",1984,1992,"C-F","7-4",228,"July 7, 1960","University of Virginia"
"samardo samuels",2011,2013,"F","6-9",260,"January 9, 1989","University of Louisville"
"pepe sanchez",2001,2003,"G","6-4",195,"May 8, 1977","Temple University"
"al sanders",1973,1973,"F","6-7",240,"January 1, 1950","Louisiana State University"
"frankie sanders",1979,1981,"F-G","6-6",200,"January 23, 1957","Southern University and A&M College"
"jeff sanders",1990,1993,"F","6-8",225,"January 14, 1966","Georgia Southern University"
"larry sanders",2011,2017,"C-F","6-11",235,"November 21, 1988","Virginia Commonwealth University"
"melvin sanders",2006,2006,"G-F","6-5",210,"January 3, 1981","Seward County Community College, Oklahoma State University"
"mike sanders",1983,1993,"F-G","6-6",210,"May 7, 1960","University of California, Los Angeles"
"tom sanders",1961,1973,"F","6-6",210,"November 8, 1938","New York University"
"ron sanford",1972,1972,"F","6-9",215,"June 11, 1946","University of New Mexico"
"daniel santiago",2001,2005,"C","7-1",256,"June 24, 1976","University of New Mexico, Saint Vincent College"
"bob santini",1956,1956,"F","6-5",190,"February 17, 1935","Iona College"
"wayne sappleton",1985,1985,"F","6-9",215,"November 17, 1960","Loyola University of Chicago"
"dario saric",2017,2018,"F","6-10",223,"April 8, 1994",""
"jason sasser",1997,1999,"F","6-7",225,"January 13, 1974","Texas Tech University"
"jeryl sasser",2002,2003,"G","6-6",200,"February 13, 1979","Southern Methodist University"
"tomas satoransky",2017,2018,"G","6-7",210,"October 30, 1991",""
"kenny satterfield",2002,2003,"G","6-2",186,"April 10, 1981","University of Cincinnati"
"pep saul",1950,1955,"G-F","6-2",185,"February 16, 1924","Seton Hall University"
"woody sauldsberry",1958,1966,"F-C","6-7",220,"July 11, 1934","Texas Southern University"
"glynn saulters",1969,1969,"G","6-2",175,"February 10, 1945","University of Louisiana at Monroe"
"fred saunders",1975,1978,"F","6-7",210,"June 13, 1951","Syracuse University"
"don savage",1952,1957,"F-G","6-3",205,"April 9, 1928","LeMoyne College"
"predrag savovic",2003,2003,"G","6-6",225,"May 21, 1976","University of Alabama at Birmingham, University of Hawaii"
"alan sawyer",1951,1951,"F","6-5",195,"January 1, 1928","University of California, Los Angeles"
"brian scalabrine",2002,2012,"F","6-9",241,"March 18, 1978","University of Southern California"
"alex scales",2006,2006,"G","6-4",185,"July 3, 1978","University of Oregon"
"dewayne scales",1981,1984,"F","6-8",208,"December 28, 1958","Louisiana State University"
"frank schade",1973,1973,"G","6-1",170,"January 22, 1950","University of Wisconsin-Eau Claire"
"ben schadler",1948,1948,"F","6-0",185,"March 9, 1924","Northwestern University"
"herm schaefer",1949,1950,"G-F","6-0",175,"December 20, 1918","Indiana University"
"billy schaeffer",1974,1976,"F","6-5",200,"December 11, 1951","St. John's University"
"bob schafer",1956,1957,"G","6-3",195,"","Villanova University"
"ben scharnus",1947,1949,"F","6-2",173,"December 11, 1917","Seton Hall University"
"marv schatzman",1950,1950,"F","6-5",200,"February 18, 1927","Saint Louis University"
"fred schaus",1950,1954,"F","6-5",205,"June 30, 1925","West Virginia University"
"danny schayes",1982,1999,"C-F","6-11",235,"May 10, 1959","Syracuse University"
"dolph schayes",1950,1964,"F-C","6-8",220,"May 19, 1928","New York University"
"ossie schectman",1947,1947,"G","6-0",175,"March 30, 1919","Long Island University"
"steve scheffler",1991,1997,"C-F","6-9",250,"September 3, 1967","Purdue University"
"tom scheffler",1985,1985,"C","6-11",240,"October 27, 1954","Purdue University"
"dave schellhase",1967,1968,"G","6-3",205,"October 14, 1944","Purdue University"
"luke schenscher",2006,2007,"C","7-1",255,"December 31, 1982","Georgia Institute of Technology"
"herb scherer",1951,1952,"C","6-9",212,"December 21, 1928","Long Island University"
"dwayne schintzius",1991,1999,"C","7-1",260,"October 14, 1968","University of Florida"
"dale schlueter",1969,1978,"C","6-10",225,"November 12, 1945","Colorado State University"
"otto schnellbacher",1949,1949,"F-G","6-4",185,"April 15, 1923","University of Kansas"
"dick schnittker",1951,1958,"F","6-5",200,"May 27, 1928","Ohio State University"
"russ schoene",1983,1989,"F-C","6-10",210,"April 16, 1960","University of Tennessee at Chattanooga"
"dave scholz",1970,1970,"F","6-8",220,"April 12, 1948","University of Illinois at Urbana-Champaign"
"milt schoon",1947,1950,"C","6-7",230,"February 25, 1922","Valparaiso University"
"detlef schrempf",1986,2001,"F-C","6-9",214,"January 21, 1963","University of Washington"
"dennis schroder",2014,2018,"G","6-1",172,"September 15, 1993",""
"howie schultz",1950,1953,"C-F","6-6",200,"July 3, 1922","Hamline University"
"dick schulz",1947,1950,"F-G","6-2",192,"January 3, 1917","University of Wisconsin"
"roger schurig",1968,1968,"G","6-3",185,"April 3, 1942","Vanderbilt University"
"john schweitz",1985,1987,"G","6-6",210,"April 19, 1960","University of Richmond"
"luis scola",2008,2017,"F","6-9",240,"April 30, 1980",""
"fred scolari",1947,1955,"G","5-10",180,"March 1, 1922","University of San Francisco"
"alvin scott",1978,1985,"F-G","6-7",185,"September 14, 1955","Oral Roberts University"
"brent scott",1997,1997,"F-C","6-10",250,"June 15, 1971","Rice University"
"byron scott",1984,1997,"G","6-3",195,"March 28, 1961","Arizona State University"
"charlie scott",1971,1980,"G-F","6-5",175,"December 15, 1948","University of North Carolina"
"dennis scott",1991,2000,"F","6-8",229,"September 5, 1968","Georgia Institute of Technology"
"james scott",1997,1997,"F","6-6",180,"June 6, 1972","St. John's University"
"mike scott",2013,2018,"F","6-8",237,"July 16, 1988","University of Virginia"
"ray scott",1962,1972,"F-C","6-9",215,"July 12, 1938","University of Portland"
"shawnelle scott",1997,2002,"C","6-10",250,"June 16, 1972","St. John's University"
"willie scott",1970,1970,"F","6-5",210,"May 22, 1947","Alabama State University"
"paul scranton",1968,1968,"F","6-5",230,"April 30, 1944","California State Polytechnic University, Pomona"
"carey scurry",1986,1988,"F","6-7",188,"December 4, 1962","Long Island University"
"bruce seals",1974,1978,"F","6-8",210,"June 18, 1953","Xavier University of Louisiana"
"shea seals",1998,1998,"G","6-5",210,"August 26, 1975","University of Tulsa"
"malik sealy",1993,2000,"G","6-8",190,"February 1, 1970","St. John's University"
"ed searcy",1976,1976,"F","6-6",210,"April 17, 1952","St. John's University"
"kenny sears",1956,1964,"F","6-9",198,"August 17, 1933","Santa Clara University"
"wayne see",1950,1950,"G","6-3",190,"November 3, 1923","Northern Arizona University"
"thabo sefolosha",2007,2018,"G-F","6-7",220,"May 2, 1984",""
"rony seikaly",1989,1999,"C","6-11",230,"May 10, 1965","Syracuse University"
"glen selbo",1950,1950,"G-F","6-3",196,"March 29, 1926","University of Wisconsin"
"josh selby",2012,2013,"G","6-2",183,"March 27, 1991","University of Kansas"
"wayne selden",2017,2018,"G-F","6-5",230,"September 30, 1994","University of Kansas"
"brad sellers",1987,1993,"C-F","7-0",210,"December 17, 1962","University of Wisconsin, Ohio State University"
"phil sellers",1977,1977,"F-G","6-4",195,"November 20, 1953","Rutgers University"
"rollie seltz",1950,1950,"G-F","5-10",165,"January 25, 1924","Hamline University"
"lester selvage",1968,1970,"G","6-1",175,"March 7, 1943","Truman State University"
"frank selvy",1955,1964,"G-F","6-3",180,"November 9, 1932","Furman University"
"jim seminoff",1947,1950,"G-F","6-2",190,"September 1, 1922","University of Southern California"
"mouhamed sene",2007,2009,"C-F","6-11",230,"May 12, 1986",""
"george senesky",1947,1954,"G","6-2",179,"April 4, 1922","Saint Joseph's University"
"kevin seraphin",2011,2017,"F","6-9",285,"December 7, 1989",""
"ansu sesay",2002,2005,"F","6-9",225,"July 29, 1976","University of Mississippi"
"ramon sessions",2008,2018,"G","6-3",190,"April 11, 1986","University of Nevada, Reno"
"ha seung jin",2005,2006,"C","7-3",305,"August 4, 1985",""
"tom sewell",1985,1985,"G","6-5",185,"March 11, 1962","Lamar University"
"paul seymour",1948,1960,"G-F","6-1",180,"January 30, 1928","University of Toledo"
"nick shaback",1947,1947,"G","5-11",180,"September 10, 1918",""
"lynn shackelford",1970,1970,"F","6-5",190,"August 27, 1947","University of California, Los Angeles"
"charles shackleford",1989,1999,"F-C","6-10",225,"April 22, 1966","North Carolina State University"
"carl shaeffer",1950,1951,"F-G","6-3",185,"October 25, 1924","University of Alabama"
"lee shaffer",1962,1964,"F","6-7",220,"February 23, 1939","University of North Carolina"
"mustafa shakur",2011,2014,"G","6-3",190,"August 18, 1984","University of Arizona"
"god shammgod",1998,1998,"G","6-0",169,"April 29, 1976","Providence College"
"earl shannon",1947,1949,"G-F","5-11",170,"November 23, 1921","University of Rhode Island"
"howie shannon",1949,1950,"G-F","6-2",175,"June 10, 1923","Kansas State University"
"chuck share",1952,1960,"C","6-11",235,"March 14, 1927","Bowling Green State University"
"bill sharman",1951,1961,"G","6-1",175,"May 25, 1926","University of Southern California"
"walter sharpe",2009,2009,"F","6-9",245,"July 18, 1986","Mississippi State University, University of Alabama at Birmingham"
"john shasky",1989,1991,"C","6-11",235,"July 31, 1964","University of Minnesota"
"ron shavlik",1957,1958,"F","6-8",200,"December 4, 1933","North Carolina State University"
"brian shaw",1989,2003,"G","6-6",190,"March 22, 1966","Saint Mary's College of California, University of California, Santa Barbara"
"casey shaw",1999,1999,"C","6-11",260,"July 20, 1975","University of Toledo"
"bob shea",1947,1947,"F","6-2",194,"September 11, 1924","University of Rhode Island"
"fred sheffield",1947,1947,"F","6-2",165,"November 5, 1923","University of Utah"
"craig shelton",1981,1982,"F","6-7",210,"May 1, 1957","Georgetown University"
"lonnie shelton",1977,1986,"F-C","6-8",240,"October 19, 1955","Oregon State University"
"tornike shengelia",2013,2014,"F","6-9",217,"October 5, 1991",""
"billy shepherd",1973,1975,"G","5-10",160,"November 18, 1949","Butler University"
"jeffrey sheppard",1999,1999,"G","6-3",190,"September 29, 1974","University of Kentucky"
"steve sheppard",1978,1979,"F","6-6",215,"March 21, 1954","University of Maryland"
"ed sherod",1983,1983,"G","6-2",170,"September 13, 1959","Virginia Commonwealth University"
"charley shipp",1950,1950,"G-F","6-1",200,"December 3, 1913","Catholic University of America"
"paul shirley",2003,2005,"F-C","6-10",230,"December 23, 1977","Iowa State University"
"gene short",1976,1976,"F","6-6",200,"August 7, 1953","Jackson State University"
"purvis short",1979,1990,"F-G","6-7",210,"July 2, 1957","Jackson State University"
"dexter shouse",1990,1990,"G","6-2",200,"March 24, 1963","University of South Alabama"
"dick shrider",1949,1949,"G","6-2",190,"February 7, 1923","Ohio University"
"gene shue",1955,1964,"G","6-2",170,"December 18, 1931","University of Maryland"
"john shumate",1976,1981,"F-C","6-9",235,"April 6, 1952","University of Notre Dame"
"iman shumpert",2012,2018,"G","6-5",220,"June 26, 1990","Georgia Institute of Technology"
"alexey shved",2013,2015,"G","6-6",190,"December 16, 1988",""
"pascal siakam",2017,2018,"F","6-9",230,"February 4, 1994","New Mexico State University"
"sam sibert",1973,1973,"F","6-7",215,"February 11, 1949","Kentucky State University"
"mark sibley",1974,1974,"G","6-2",175,"November 13, 1950","Northwestern University"
"jerry sichting",1981,1990,"G","6-1",168,"November 29, 1956","Purdue University"
"donald sidle",1969,1972,"F-C","6-8",215,"June 21, 1946","University of Oklahoma"
"larry siegfried",1964,1972,"F","6-3",190,"May 22, 1939","Ohio State University"
"ralph siewert",1947,1947,"C","7-1",230,"December 31, 1923","Dakota Wesleyan University"
"jack sikma",1978,1991,"C-F","6-11",230,"November 14, 1955","Illinois Wesleyan University"
"james silas",1973,1982,"G","6-1",180,"February 11, 1949","Stephen F. Austin State University"
"paul silas",1965,1980,"F-C","6-7",220,"July 12, 1943","Creighton University"
"xavier silas",2012,2012,"G","6-5",205,"January 22, 1988","University of Colorado, Northern Illinois University"
"garret siler",2011,2011,"C","6-11",305,"October 25, 1986","Augusta State University"
"mike silliman",1971,1971,"F","6-6",225,"May 5, 1944","United States Military Academy"
"wayne simien",2006,2007,"F","6-9",255,"March 9, 1983","University of Kansas"
"ben simmons",2018,2018,"G-F","6-10",230,"July 20, 1996","Louisiana State University"
"bobby simmons",2002,2012,"G-F","6-7",210,"June 2, 1980","DePaul University"
"cedric simmons",2007,2009,"F","6-9",235,"January 3, 1986","North Carolina State University"
"connie simmons",1947,1956,"C-F","6-8",222,"March 15, 1925",""
"grant simmons",1968,1969,"G","6-3",190,"March 7, 1943","University of Nebraska"
"johnny simmons",1947,1947,"G","6-1",184,"July 7, 1924","New York University"
"jonathon simmons",2016,2018,"G-F","6-6",195,"September 14, 1989","University of Houston"
"kobi simmons",2018,2018,"G","6-5",166,"July 4, 1997","University of Arizona"
"lionel simmons",1991,1997,"F","6-7",210,"November 14, 1968","La Salle University"
"miles simon",1999,1999,"G","6-3",202,"November 21, 1975","University of Arizona"
"walter simon",1968,1974,"F-G","6-6",200,"December 1, 1939","Benedict College"
"dickey simpkins",1995,2002,"F","6-9",248,"April 6, 1972","Providence College"
"ralph simpson",1971,1980,"G-F","6-5",200,"August 10, 1949","Michigan State University"
"alvin sims",1999,1999,"G","6-4",235,"October 18, 1974","University of Louisville"
"bob sims",1962,1968,"G-F","6-5",220,"October 9, 1938","Pepperdine University"
"courtney sims",2008,2009,"C","6-10",245,"October 21, 1983","University of Michigan"
"doug sims",1969,1969,"F","6-7",195,"June 29, 1943","Kent State University"
"henry sims",2013,2016,"C","6-10",248,"March 27, 1990","Georgetown University"
"scott sims",1978,1978,"G","6-1",170,"April 18, 1955","University of Missouri"
"kyle singler",2013,2018,"F","6-8",228,"May 4, 1988","Duke University"
"sean singletary",2009,2009,"G","6-0",185,"September 6, 1985","University of Virginia"
"chris singleton",2012,2014,"F","6-8",230,"November 21, 1989","Florida State University"
"james singleton",2006,2012,"F","6-8",216,"July 20, 1981","Murray State University"
"mckinley singleton",1987,1987,"G","6-5",175,"October 29, 1961","University of Alabama at Birmingham"
"zeke sinicola",1952,1954,"G","5-10",165,"January 25, 1929","Niagara University"
"charlie sitton",1985,1985,"F","6-8",210,"July 3, 1962","Oregon State University"
"peyton siva",2014,2014,"G","6-0",185,"October 24, 1990","University of Louisville"
"scott skiles",1987,1996,"G","6-1",180,"March 5, 1964","Michigan State University"
"al skinner",1975,1980,"G","6-3",190,"June 16, 1952","University of Massachusetts Amherst"
"brian skinner",1999,2012,"F","6-9",255,"May 19, 1976","Baylor University"
"tal skinner",1975,1976,"F-G","6-5",195,"September 10, 1952","University of Maryland Eastern Shore"
"whitey skoog",1952,1957,"G","5-11",180,"November 2, 1926","University of Minnesota"
"jeff slade",1963,1963,"F","6-6",220,"March 1, 1941","Kenyon College"
"reggie slater",1995,2003,"F","6-7",215,"August 27, 1970","University of Wyoming"
"jim slaughter",1952,1952,"C","6-11",210,"May 13, 1928","University of South Carolina"
"jose slaughter",1983,1983,"G","6-5",205,"September 9, 1960","University of Portland"
"tamar slay",2003,2005,"G","6-8",215,"April 2, 1980","Marshall University"
"donald sloan",2012,2016,"G","6-3",205,"January 15, 1988","Texas A&M University"
"jerry sloan",1966,1976,"G-F","6-5",195,"March 28, 1942","University of Evansville"
"uros slokar",2007,2007,"F","6-10",238,"May 14, 1983",""
"tom sluby",1985,1985,"G","6-4",200,"February 18, 1962","University of Notre Dame"
"keith smart",1989,1989,"G","6-1",175,"September 21, 1964","Indiana University"
"marcus smart",2015,2018,"G","6-4",220,"March 6, 1994","Oklahoma State University"
"belus smawley",1947,1952,"G-F","6-1",195,"March 20, 1918","Appalachian State University"
"jack smiley",1949,1950,"F-G","6-3",190,"December 22, 1922","University of Illinois at Urbana-Champaign"
"adrian smith",1962,1972,"G","6-1",180,"October 5, 1936","University of Kentucky"
"al smith",1972,1976,"G","6-1",185,"January 15, 1947","Bradley University"
"bill smith",1962,1962,"G-F","6-5",190,"April 26, 1939","Saint Peter's College"
"bingo smith",1970,1980,"F-G","6-5",195,"February 26, 1946","University of Tulsa"
"bobby smith",1960,1962,"G","6-4",190,"August 20, 1937","West Virginia University"
"charles smith",1989,1997,"F-C","6-10",230,"July 16, 1965","University of Pittsburgh"
"charles smith",1990,1996,"G","6-1",160,"November 29, 1967","Georgetown University"
"charles smith",1998,2006,"G","6-4",194,"August 22, 1975","University of New Mexico"
"chris smith",1993,1995,"G","6-3",190,"May 17, 1970","University of Connecticut"
"chris smith",2014,2014,"G","6-2",200,"October 13, 1987","Manhattan College, University of Louisville"
"clinton smith",1987,1991,"F","6-6",210,"January 19, 1964","Ohio State University, Cleveland State University"
"craig smith",2007,2012,"F","6-7",250,"November 10, 1983","Boston College"
